id,text,category
10,halo 2 heralds traffic explosion the growing popularity of online gaming could spell problems for net service firms  warns network monitoring company sandvine.  it issued the warning following analysis which shows that traffic on the xbox game network increased fourfold on the launch day of halo 2. the 9 november traffic explosion has continued into december  said sandvine. service providers now need to make sure that their networks can cope with the increasing demands for bandwidth. as well as being a popular single-player title  halo 2 can be connected to microsoft s subscription-based broadband network  xbox live. gamers who want to play online can create their own clan  or team  and take on others to see how well they compare.  but the surge in numbers and huge demands for bandwidth should be a wake-up call to the industry which must ensure that their networks can cope with the increases in traffic  said sandvine s chief technology officer marc morin.  in a bid to cope and ease congestion  providers are increasingly making their networks intelligent  finding out who is using bandwidth and for what. it could become common to charge people for the amount of bandwidth they use.  the explosion in xbox live traffic attributed to halo 2 should be seen as a clarion call   he said.  isps need to enhance the broadband experience for these high-end users by prioritising or reserving bandwidth for games   he added.  one of the main factors that spoils online gaming is  lag  in which there is a noticeable delay between a gamer clicking on a mouse or keyboard and what happens in the online gaming world. gamers tend to migrate toward networks with the lowest  lag . analysing traffic will become increasingly important for service providers if they are to hold on to bandwidth-hungry gamers said lindsay schroth  an analyst with research firm the yankee group.  in the competitive broadband environment  operators need to differentiate the way they offer access to services like live-play gaming   she said. in countries such as korea  which has high levels of fast net connections to homes  online gaming is hugely popular.,tech
11,low-cost airlines hit eurotunnel channel tunnel operator eurotunnel has seen sales fall in the face of the upsurge in european low-cost airlines.  the firm said sales were down 4% in 2004 to 789m euros ($1.03bn; £548m).  the impact of the development of no-frills airlines is being felt ever more strongly   said chief executive jean-louis raymond. income from its vehicle-carrying shuttle services fell 7%  although 15% more passengers meant a 2% rise in railway revenue.  the cross-channel truck market is improving  eurotunnel said  but warned that it was not benefiting since much of the traffic was in containers destined for ports. the passenger-only trains which use the tunnel are run by a separate company  eurostar.  eurotunnel is still struggling with debts of more than 6bn euros. the company is currently kept afloat by the 200-plus banks to whom it owes the money. a shareholder revolt threw out the old board in 2004. but the bbc s business editor  jeff randall  said the banks could yet step in and take over altogether.  at the moment it can t even service the interest on its debt   he said.  this is a company in the departure lounge of life.,business
12,redknapp poised for saints southampton are set to unveil harry redknapp as their new manager at a news conference at 1500 gmt on wednesday.  the former portsmouth boss replaces steve wigley  who has been relieved of first-team duties after just one win in 14 league games in charge. redknapp  57  quit his fratton park position on 24 november and vowed:  i will not go down the road - no chance.  pompey coach kevin bond is poised to join redknapp  who will be saints  third boss of the season. redknapp s first game in charge will be at home to middlesbrough on saturday. portsmouth chairman milan mandaric said he was  disappointed  by the news and claimed redknapp had been in talks with southampton for  some time .   it would appear that negotiations over this have been going on for some time   mandaric said on portsmouth s official website.  i am surprised and a little shocked that the chairman of southampton has not picked up the phone and kept me informed.  according to mandaric  redknapp vowed he would not join their south coast rivals when he left portsmouth.  i said to harry  i hope you don t go to southampton   and he told me  absolutely not    he said.  i m wouldn t say i m bitter  disgusted or angry  just disappointed  but it s harry s life and it s his decision.  redknapp became a cult hero after leading portsmouth into the premiership for the first time  and then masterminding their survival in their debut season. but he left the club claiming he needed a break from football  though many believed he was upset with mandaric s decision to bring in velimir zajec as executive director.  southampton chairman rupert lowe was desperate to give former academy director wigley  who replaced paul sturrock just two games into the season  every chance to succeed at st mary s. but results under wigley have been poor and southampton are deep in trouble near the foot of the table. when redknapp s appointment is confirmed  he will be saints  ninth manager in eight years.,sport
13,bond game fails to shake or stir for gaming fans  the word goldeneye evokes excited memories not only of the james bond revival flick of 1995  but also the classic shoot-em-up that accompanied it and left n64 owners glued to their consoles for many an hour.  adopting that hallowed title somewhat backfires on this new game  for it fails to deliver on the promise of its name and struggles to generate the original s massive sense of fun. this however is not a sequel  nor does it relate to the goldeneye film. you are the eponymous renegade spy  an agent who deserts to the bond world s extensive ranks of criminal masterminds  after being deemed too brutal for mi6. your new commander-in-chief is the portly auric goldfinger  last seen in 1964  but happily running around bent on world domination. with a determination to justify its name which is even less convincing than that of tina turner s similarly-titled theme song  the game literally gives the player a golden eye following an injury  which enables a degree of x-ray vision.  rogue agent signals its intentions by featuring james bond initially and proceeding to kill him off within moments  squashed by a plummeting helicopter. the notion is of course to add a novel dark edge to a 007 game  but the premise simply does not get the juices flowing like it needs to.  recent bond games like nightfire and everything or nothing were very competent and did a fine job of capturing the sense of flair  invention and glamour of the film franchise. this title lacks that aura  and when the bond magic shines through  it feels like a lucky accident. the central problem is that the gameplay just is not good enough. quite aside from the bizarre inability to jump  the even more bizarre glaring graphical bugs and dubious enemy ai  the levels simply are not put together with much style or imagination. admittedly the competition has been tough  even in recent weeks  with the likes of halo 2 and half life 2 triumphing in virtually every department. what the game is good at is enveloping you in noisy  dynamic scenes of violent chaos. as is the trend of late  you are made to feel like you are in the midst of a really messy and fraught encounter. sadly that sense of action is outweighed by the difficulty of navigating and battling within the chaos  meaning that frustration is often the outcome. and irregular save points mean you have to backtrack each time you are killed. a minute red dot passes for a crosshair  although the collision-detection is so suspect that the difficulties of aiming weapons are compensated for. shooting enemies from a distance can be tricky  and you will not always know you have picked them off  since dead enemies vanish literally before they have fully hit the floor  and they do so in some woefully uninspiring death animations. it is perhaps indicative of a lack of confidence that the game maker s allow you several different weapons almost immediately and throw you quickly into raging firefights - no time is risked with a measured build-up.  by far the most satisfying element of the game is seeing old favourites like dr no  goldfinger  hat-fiend oddjob and crazed russian sex beast xenia onatopp resurrected after all these years  and with their faces rendered in an impressively recognisable fashion.  there is a real thrill from doing battle with these legendary villains  and it is a testament to the power of the bond universe that they can cut such a dash. but the in-game niggles  combined with a story and presentation that just do not feel sufficiently well thought-through  will make this a disappointment for most. diehard fans of bond will probably find enough here to make it a worthwhile purchase and try to ignore the failings. the game is weak  not completely unplayable. then again  007 fanatics may also take umbrage at the cavalier blending of characters from different eras. given james bond s healthy pedigree in past games  there is every reason to hope that this is just a blip  a commendable idea that just has not worked  that will be rectified when the character inevitably makes his return.  goldeneye: rogue agent is out now,tech
14,sony psp console hits us in march us gamers will be able to buy sony s playstation portable from 24 march  but there is no news of a europe debut.  the handheld console will go on sale for $250 (£132) and the first million sold will come with spider-man 2 on umd  the disc format for the machine. sony has billed the machine as the walkman of the 21st century and has sold more than 800 000 units in japan. the console (12cm by 7.4cm) will play games  movies and music and also offers support for wireless gaming. sony is entering a market which has been dominated by nintendo for many years.  it launched its ds handheld in japan and the us last year and has sold 2.8 million units. sony has said it wanted to launch the psp in europe at roughly the same time as the us  but gamers will now fear that the launch has been put back. nintendo has said it will release the ds in europe from 11 march.  it has gaming at its core  but it s not a gaming device. it s an entertainment device   said kaz hirai  president of sony computer entertainment america.,tech
15,sony psp tipped as a  must-have  sony s playstation portable is the top uk gadget for 2005  according to a round-up of ultimate gizmos compiled by stuff magazine.  it beats the ipod into second place in the top ten essentials list which predicts what gadget-lovers are likely to covet this year. owning all 10 gadgets will set the gadget lover back £7 455. that is £1 000 cheaper than last year s list due to falling manufacturing costs making gadgets more affordable.  portable gadgets dominate the list  including sharp s 902 3g mobile phone  the pentax optio sv digital camera and samsung s yepp yh-999 video jukebox.   what this year s essentials shows is that gadgets are now cheaper  sexier and more indispensable than ever. we ve got to the point where we can t live our lives without certain technology   said adam vaughan  editor of stuff essentials. the proliferation of gadgets in our homes is inexorably altering the role of the high street in our lives thinks mr vaughan.  take digital cameras  who would now pay to develop an entire film of photos  or legitimate downloads  who would travel miles to a record shop when they could download the song in minutes for 70p   he asks. next year will see a new set of technologies capturing the imaginations of gadget lovers  stuff predicts. the xbox 2  high-definition tv and mp3 mobiles will be among the list of must-haves that will dominate 2006  it says. the spring launch of the psp in the uk is eagerly awaited by gaming fans.,tech
16,uk tv channel rapped for csi ad tv channel five has been criticised for sending  offensive  and  threatening  advertising material to viewers for a new show about murder scene scientists.  five mailed thousands of fake dossiers including photos of murder victims and an e-mail suggesting the recipient was being stalked by a serial killer. following complaints  the advertising standards authority contacted five to cease promotion of crime show csi:ny. five admitted it had sent out 55 000 promotion packs but had now stopped. the promotion material was sent in brown envelope of the type used by investigators in the series  a spin-off from the highly successful csi: crime scene investigation series  which also runs on five. the pack also features pictures of forensic evidence from a crime scene and a wanted poster  which did have a csi:ny logo printed in large at the bottom.  five said it had received 100 complaints but that it had been surprised at the reaction because it was  obvious this material is promoting a drama . a five spokesman said:  in light of the efforts we have made to make the nature of the contents so transparent we are surprised a very small minority of recipients have mistaken it as anything else.  everyone who was sent this promotion has expressed an interest in receiving details about this particular genre of programming on various websites.  we have also received emails and calls from recipients praising the originality and imagination of the campaign.,entertainment
17,text messages aid disaster recovery text messaging technology was a valuable communication tool in the aftermath of the tsunami disaster in asia.  the messages can get through even when the cell phone signal is too weak to sustain a spoken conversation. now some are studying how the technology behind sms could be better used during an emergency. sanjaya senanayake works for sri lankan television. the blogging world  though  might know him better by his online name  morquendi. he was one of the first on the scene after the tsunami destroyed much of the sri lankan coast. cell phone signals were weak. land lines were unreliable. so mr senanayake started sending out text messages. the messages were not just the latest news they were also an on-the-ground assessment of  who needs what and where . blogging friends in india took mr senanayake s text messages and posted them on a weblog called dogs without borders. thousands around the world followed the story that unfolded in the text messages that he sent.  and that s when mr senanayake started to wonder if sms might be put to more practical use.  sms networks can handle so much more traffic than the standard mobile phone call or the land line call   he says.   in every rural community  there s at least one person who has access to a mobile phone  or has a mobile phone  and can receive messages.  half a world away  in the caribbean nation of trinidad and tobago  taran rampersad read morquendi s messages. mr rampersad  who used to work in the military  knew how important on the ground communication can be in times of disaster. he wondered if there might be a way to automatically centralise text messages  and then redistribute them to agencies and people who might be able to help. mr rampersad said:  imagine if an aid worker in the field spotted a need for water purification tablets  and had a central place to send a text message to that effect.  he can message the server  so the server can send out an e-mail message and human or machine moderators can e-mail aid agencies and get it out in the field.  he added:  or  send it at the same time to other people who are using sms in the region  and they might have an excess of it  and be able to shift supplies to the right places.   mr rampersad and others had actually been thinking about such a system since hurricane ivan ravaged the caribbean and the southern united states last september. last week  he sent out e-mail messages asking for help in creating such a system for asia.  in only 72 hours  he found dan lane  a text message guru living in britain. the pair  along with a group of dedicated techies  are creating what they call the alert retrieval cache. the idea is to use open-source software - software can be used by anyone without commercial restraint - and a far-flung network of talent to create a system that links those in need with those who can help.  this is a classic smart mobs situation where you have people self-organizing into a larger enterprise to do things that benefit other people   says paul saffo  a director at the california-based institute for the future.  you may be halfway around the world from someone  but in cyberspace you re just one click or one e-mail away   he said   that s put a whole new dimension on disaster relief and recovery  where often people halfway around the world can be more effective in making something happen precisely because they re not right on top of the tragedy.  it is still very early days for the project  though. in an e-mail  dan lane calls it  an early proof of concept.  right now  the alert retrieval cache can only take a text message and automatically upload it to a web-page  or distribute it to an e-mail list. in the near future  the group says it hopes to take in messages from people in affected areas  and use human moderators to take actions based on the content of those messages. but there s still another challenge. you have to get people to know that the system is there for them to use.  it s amazing how difficult it is to find someone to pass it along to  and say  look this is what we re trying to do and everything like that   says mr rampersad.  so the big problem right now is the same problem we re trying to solve - human communication.  he is optimistic  however. he thinks that the alert retrieval cache is an idea whose time has come and he hopes governments  too  will sit up and take notice. and he stands by his motto  courtesy of michelangelo: criticise by creating.  clark boyd is technology correspondent for the world  a bbc world service and wgbh-boston co-production.,tech
18,rangers seal old firm win goals from gregory vignal and nacho novo gave rangers a scrappy victory at celtic park that moves them three points clear of the champions.  rangers had rarely threatened until celtic goalkeeper rab douglas let defender vignal s 25-yard drive slip through his grasp and into the net. opposite number ronald waterreus had been rangers  hero  saving superbly from craig bellamy and john hartson. striker novo secured victory  lobbing douglas with eight minutes remaining. it ended celtic s 11-game unbeaten run at home in old firm derbies and gave rangers manager alex mcleish his first victory at the home of his glasgow rivals. celtic had won their last six meetings on their home pitch  including twice already this season. they started confidently  with new signing bellamy  on loan from newcastle united  given his celtic debut up front with wales international colleague john hartson and chris sutton dropping into midfield. it took bellamy just four minutes to threaten  taking on marvin andrews before delivering a low drive that was held by waterreus at the second attempt. he had an even better chance after hartson dispossesed sotiris kyrgiakos and sent his strike partner clear with only the goalkeeper to beat. but waterreus did well to beat away bellamy s disappointing low drive from 16 yards. waterreus came to the rescue again when the ball fell to hartson just inside the box and the dutch goalkeeper made a brave block. it was an old firm return for barry ferguson as mcleish stuck by the side that thumped four goals past hibernian. but rangers found celtic harder to break down and douglas was not threatened until 10 minutes after the break. dado prso turned inside neil lennon only for the celtic goalkeeper to beat away his powerful 18-yard drive. a great defensive header by andrews prevented hartson pouncing from five yards out. hartson foxed vignal at the edge of the rangers box  but the striker s shot on the turn was again beaten away by waterreus. rangers were beginning to dominate the midfield and vignal  collecting a knock back from fernando ricksen  broke the deadlock  douglas somehow letting the frenchman s dipping drive slip through his grasp. novo pounced on a moments  hesitation in the celtic defence to latch on to a long ball from ricksen and lob the ball over the advancing douglas. ricksen appeared to be hit by a coin  but it could not prevent rangers  celebrations at the final whistle.  : douglas  mcnamara  balde  varga  laursen  petrov  lennon  sutton  thompson  bellamy  hartson.  subs: marshall  henchoz  juninho paulista  lambert  maloney  wallace  mcgeady.  : waterreus  hutton  kyrgiakos  andrews  ball  buffel  ferguson  ricksen  vignal  prso  novo.  subs: mcgregor  namouchi  burke  alex rae  malcolm  thompson  lovenkrands.  : m mccurry,sport
19,angels  favourite funeral song  angels by robbie williams is the song britons would most like played at their funeral  a survey has suggested.  while the melancholy hit topped the uk poll  europeans favoured queen s more upbeat anthem the show must go on as their first choice. frank sinatra s my way was second in the uk vote with monty python s always look on the bright side of life in third place. more than 45 000 people were surveyed by digital tv station music choice.  the european chart  which included denmark  france and germany  put led zeppelin s stairway to heaven in second and ac/dc s highway to hell in third. queen s who wants to live forever was highly favoured by both uk and european voters.  both lists featured only one traditional or classic song each  with britons requesting the royal scots dragoon guards  amazing grace and their continental counterparts opting for mozart s requiem.  wanting to share your most treasured musical gem with those you re leaving behind is the perfect way to sign off and leave a lasting impression   music choice music and marketing manager simon george said.,entertainment
